"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","cleantext","date","popular"
"4358","If you are attending to #ISA2015, do not miss our panel on Mexico's #energy policy. http://t.co/0sI7K0LnTw",FALSE,3,NA,2015-02-19 12:55:32,FALSE,NA,"568393445737426945",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","I_Solorio",3,FALSE,FALSE,NA,NA,"If you are attending to  ISA  do not miss our panel on Mexico s  energy policy  ",2015-02-19 06:55:32,6
"4360","RT @dtchimp: On Evaluating and Presenting Forecasts http://t.co/EqyBIqEIXe A preview of remarks for an #ISA2015 round table.",FALSE,0,NA,2015-02-19 12:48:07,FALSE,NA,"568391578915610624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","stratbuzz",4,TRUE,FALSE,NA,NA,"   On Evaluating and Presenting Forecasts ",2015-02-19 06:48:07,4
"4361","Join us for the Duckies Blogging Awards tonight, 7.30pm, Quaterdeck A&amp;B Ballroom, Hilton @DuckofMinerva #ISA2015",FALSE,0,NA,2015-02-19 12:45:37,FALSE,NA,"568390950822805504",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","SAGECQPolitics",5,FALSE,FALSE,NA,NA,"Join us for the Duckies Blogging Awards tonight   pm  Quaterdeck AB Ballroom  Hilton   ISA",2015-02-19 06:45:37,5
"4362","RT @smsaideman: Game of thrones panel at #isa2015 with @dandrezner and @charlicarpenter http://t.co/Lzr3to3b4A",FALSE,0,NA,2015-02-19 12:42:51,FALSE,NA,"568390255298023424",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LuisaGiannini",14,TRUE,FALSE,NA,NA,"   Game of thrones panel at  isa with  and  ",2015-02-19 06:42:51,14
"4363","RT @SAGECQPolitics: RT @Res_Pol: Read the most read articles from Research &amp; Politics, always #openaccess http://t.co/sQgjOfezQg #ISA2015",FALSE,0,NA,2015-02-19 12:40:02,FALSE,NA,"568389544015486976",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","milo_phd",4,TRUE,FALSE,NA,NA,"      Read the most read articles from Research  Politics  always  openaccess ",2015-02-19 06:40:02,4
"4364","Great discussions on international #scipolicy, #technology, #innovation and #highered @ #ISA2015 this week http://t.co/qKDta2gQXN",FALSE,1,NA,2015-02-19 12:37:26,FALSE,NA,"568388891734097921",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EUknowledge",0,FALSE,FALSE,NA,NA,"Great discussions on international  scipolicy   technology   innovation and  highered    ISA this week ",2015-02-19 06:37:26,1
"4365","RT @profsheehan: #Sheehan presenting at #ISA2015. Details @ http://t.co/NfJoCNyZqS @ISAnet @Iran_Policy #RegimeChange #Iran #terrorism http…",FALSE,0,NA,2015-02-19 12:26:18,FALSE,NA,"568386089234399232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sadatmand098",81,TRUE,FALSE,NA,NA,"    Sheehan presenting at  ISA  Details   ",2015-02-19 06:26:18,81
"4366","RT @FrankMattheis: ""In IR either you study approaches to the world or you study the world"" Peter Katzenstein sums up the discipline on the …",FALSE,0,NA,2015-02-19 12:22:53,FALSE,NA,"568385229330767872",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","raulpacheco",1,TRUE,FALSE,NA,NA,"    In IR either you study approaches to the world or you study the world  Peter Katzenstein sums up the discipline on the ",2015-02-19 06:22:53,1
"4367","RT @SAGECQPolitics: RT @Res_Pol: Read the most read articles from Research &amp; Politics, always #openaccess http://t.co/sQgjOfezQg #ISA2015",FALSE,0,NA,2015-02-19 12:21:52,FALSE,NA,"568384973067165696",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","raulpacheco",4,TRUE,FALSE,NA,NA,"      Read the most read articles from Research  Politics  always  openaccess ",2015-02-19 06:21:52,4
"4368","RT @JorisLarik: Li'l sneak preview of my presentation for the @HagueInstitute at tmr's panel ""Constructivism &amp; Global IR"" at #ISA2015 http:…",FALSE,0,NA,2015-02-19 12:21:48,FALSE,NA,"568384957514682368",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","raulpacheco",2,TRUE,FALSE,NA,NA,"   Li l sneak preview of my presentation for the  at tmr s panel  Constructivism  Global IR  at  ISA",2015-02-19 06:21:48,2
"4369","RT @BISAPGN: Hello #ISA2015! @EJIntSec from @MYBISA is accepting papers! http://t.co/8X1ZaSDWsv… #ISA2015 http://t.co/AdM7Cj5ngx #Internati…",FALSE,0,NA,2015-02-19 12:21:36,FALSE,NA,"568384905949941760",NA,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>","raulpacheco",3,TRUE,FALSE,NA,NA,"   Hello  ISA   from  is accepting papers  ",2015-02-19 06:21:36,3
